Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W262    2103.26         2104.31         0.124257        0.999499        46.6444         3.12908         
W263    2102.89         2102.65         0.124926        1.00012         52.3133         0.505845        
W264    2102.47         2099.59         0.122942        1.00137         42.2372         1.2033          
W265    2102            2106.59         0.13132         0.997822        41.0604         1.92577         
W266    2101.48         2102.36         0.122209        0.999581        39.382          2.12688         
W267    2100.9          2112.8          0.157644        0.994368        24.0679         0.136639        
W268    2100.28         2101.19         0.150158        0.999567        38.8452         0.571624        
W269    2099.6          2109.21         0.123111        0.995444        43.6329         4.61219         
W270    2098.87         2098.67         0.119996        1.0001          35.5984         1.16152         
W271    2098.09         2096.36         0.129126        1.00082         36.3048         1.57908         
W272    2097.25         2096.94         0.127572        1.00015         23.8901         1.6725          
W273    2097.72         2103.17         0.132129        0.997407        43.7629         2.89157         
W274    2098.55         2132.37         0.129663        0.98414         18.6081         2.34638         
W275    2099.33         2112.58         0.121491        0.993731        24.285          3.96979         
W276    2100.07         2094.71         0.133339        1.00255         50.168          1.81212         
W277    2100.75         2087.63         0.124453        1.00628         55.879          3.55236         
W278    2101.37         2104.34         0.120292        0.998592        27.3899         2.81214         
W279    2101.95         2109.77         0.126309        0.996293        31.6704         2.62117         
W280    2102.47         2100.92         0.128022        1.00074         51.2825         0.990636        
W281    2102.95         2101.65         0.135147        1.00061         48.4417         0.815666        
W282    2103.37         2103.24         0.136188        1.00006         56.5989         0.512451        
W283    2103.73         2102.77         0.142491        1.00046         49.967          1.13986         
W284    2104.05         2101.29         0.134886        1.00131         51.5961         1.20368         
W285    2104.31         2106.13         0.144321        0.999136        46.9708         1.47533         
W286    2104.52         2113.42         0.118668        0.995789        38.3318         3.03406         
W287    2104.68         2103.37         0.122952        1.00062         49.0993         2.18471         
W288    2104.78         2105.54         0.1303          0.999642        50.9742         1.56665         
W289    2104.84         2102.95         0.124095        1.0009          48.3373         0.548277        
W290    2104.84         2106.34         0.143311        0.999287        52.7738         1.31025         
W291    2104.78         2104.91         0.118794        0.999942        59.6339         0.758767        
W292    2104.68         2106.06         0.14224         0.999346        48.7111         5.0924          
W293    2104.52         2101.96         0.121607        1.00122         54.0505         0.67035         
W294    2104.31         2106.11         0.132417        0.999146        56.6417         1.5864          
W295    2104.05         2104.72         0.129451        0.999683        55.6335         2.30172         
W296    2103.73         2104.82         0.128374        0.999485        47.9636         1.06281         
W297    2103.37         2118.23         0.112723        0.992981        36.3063         1.64715         
W298    2102.95         2111.02         0.122077        0.996176        48.8282         0.813219        
W299    2102.47         2101.46         0.113171        1.00048         37.6442         0.250349        
W300    2101.95         2107.11         0.13592         0.997551        31.4026         0.544327        
W301    2101.37         2107.44         0.11919         0.997119        44.2729         2.2706          
W302    2100.75         2102.96         0.129883        0.998946        42.4129         0.697758        
W303    2100.07         2092.73         0.125336        1.00351         47.9714         4.67281         
W304    2099.33         2103.19         0.12305         0.998165        35.7102         1.93187         
W305    2098.55         2095.11         0.130702        1.00164         29.1016         2.89925         
W306            2097.72         2102.4          0.997772        117.408         0.551686        
W307            2098.14         2063.34         1.01687         200             2.29023         
W308    2098.97         2079.08         0.111561        1.00957         45.8068         1.84502         
W309    2099.75         2094.02         0.11891         1.00274         60.3922         1.1521          
W310    2100.48         2099.82         0.116711        1.00032         37.2029         0.322673        
W311    2101.16         2103.17         0.120306        0.999044        62.493          1.4557          
W312    2101.79         2109.6          0.114529        0.996297        16.4269         1.40141         
W313    2102.37         2097.81         0.120603        1.00217         65.9418         0.373218        
W314    2102.89         2107.03         0.12382         0.998038        34.8947         0.662114        
W315    2103.36         2104.4          0.128502        0.999509        47.6987         2.0739          
W316    2103.78         2101.78         0.119158        1.00095         57.9152         0.386807        
W317    2104.15         2102.62         0.116603        1.00073         49.4721         1.35611         
W318    2104.47         2103.23         0.127271        1.00059         45.9146         2.01397         
W319    2104.73         2103.33         0.138227        1.00067         47.8124         3.06023         
W320    2104.94         2105.12         0.119647        0.999913        45.8208         1.40986         
W321    2105.1          2105.99         0.125647        0.999578        51.0445         3.95664         
W322    2105.2          2104.52         0.11099         1.00032         56.5072         1.48386         
W323    2105.26         2106.81         0.131554        0.999265        52.9605         1.21686         
W324    2105.26         2105.64         0.130389        0.999818        50.2462         3.12743         
W325    2105.2          2104.02         0.12498         1.00057         52.3184         0.940081        
W326    2105.1          2098.56         0.135132        1.00312         58.2221         4.11454         
W327    2104.94         2106.25         0.13833         0.999378        47.0619         1.21356         
W328    2104.73         2104.95         0.124265        0.999898        52.6974         1.78103         
W329    2104.47         2108.77         0.126489        0.99796         43.2082         2.31404         
W330    2104.15         2103.86         0.132393        1.00014         41.673          1.58116         
W331    2103.78         2104.82         0.132172        0.99951         49.0504         2.07058         
W332    2103.36         2103.18         0.123208        1.00009         53.9494         1.39905         
W333    2102.89         2105.4          0.144087        0.998811        53.1913         0.421695        
W334    2102.37         2100.94         0.131617        1.00068         51.9947         2.93657         
W335    2101.79         2103.77         0.119018        0.999061        63.1035         1.12445         
W336    2101.16         2100.28         0.117515        1.00042         57.8773         0.348287        
W337    2100.48         2102.38         0.11882         0.999099        42.8486         0.744347        
W338    2099.75         2101.72         0.138087        0.999063        57.7428         2.05684         
W339    2098.97         2092.23         0.118472        1.00322         41.4753         1.59498         
W340            2098.14         2094.96         1.00152         47.242          0.844078        
W341    2098.5          2126.92         0.114609        0.986637        32.615          4.56283         
W342    2099.33         2099.28         0.118012        1.00003         26.5192         1.77088         
W343    2100.12         2097.52         0.120348        1.00124         38.4289         0.233925        
W344    2100.85         2115.52         0.127678        0.993067        31.8062         0.35167         
W345    2101.53         2098.69         0.127662        1.00135         41.0914         2.27878         
W346    2102.16         2099.95         0.116661        1.00105         44.4199         2.2948          
W347    2102.73         2101.22         0.113292        1.00072         58.9328         0.46348         
W348    2103.26         2101.69         0.115394        1.00075         45.7264         0.303877        
W349    2103.73         2096.94         0.118042        1.00324         46.9019         1.40775         
W350    2104.15         2100.03         0.127818        1.00196         54.6738         0.467172        
W351    2104.52         2109.15         0.130487        0.997807        43.5203         0.124113        
W352    2104.84         2104.11         0.126659        1.00034         45.4987         0.69327         
W353    2105.1          2103.98         0.113274        1.00053         45.7354         1.51552         
W354    2105.31         2106.52         0.133652        0.999426        52.5255         0.624656        
W355    2105.47         2106.19         0.129927        0.999656        46.6572         2.14967         
W356    2105.57         2105.04         0.133496        1.00025         55.0647         0.318026        
W357    2105.63         2106.13         0.135078        0.999762        50.6041         0.0601908       
W358    2105.63         2105.29         0.136818        1.00016         50.035          3.05236         
W359    2105.57         2107.38         0.136712        0.999143        51.8827         0.253145        
W360    2105.47         2106.03         0.128121        0.999734        50.92           3.24025         
W361    2105.31         2106.43         0.13186         0.999469        55.176          0.0803831       
W362    2105.1          2105.83         0.126737        0.999653        51.6128         0.776533        
W363    2104.84         2104.61         0.126524        1.00011         50.3014         0.577534        
W364    2104.52         2105.98         0.11883         0.999305        40.8269         1.65439         
W365    2104.15         2102.56         0.129938        1.00076         63.8979         1.09447         
W366    2103.73         2103.02         0.121791        1.00034         63.882          1.87855         
W367    2103.26         2101.75         0.114109        1.00072         59.4138         2.73541         
W368    2102.73         2102.2          0.128928        1.00025         50.937          2.39905         
W369    2102.16         2113.47         0.119211        0.994648        30.0996         0.957133        
W370    2101.53         2101.87         0.112065        0.999839        48.3639         3.24146         
W371    2100.85         2109.44         0.120907        0.995926        30.4876         0.644286        
W372    2100.12         2089.39         0.1195          1.00513         50.1142         0.500318        
W373    2099.33         2034.32         0.115862        1.03196         69.4689         2.67434         
W374            2098.5          2060.1          1.01864         227.251         0.465834        
W375            2098.81         2064.75         1.01649         108.311         0.848376        
W376    2099.65         2067.94         0.116046        1.01533         53.5004         0.698354        
W377    2100.43         2091.94         0.125834        1.00406         37.4052         2.22793         
W378    2101.16         2101.94         0.117044        0.999629        33.8439         0.47291         
W379    2101.84         2102.05         0.125022        0.999903        48.2931         1.94509         
W380    2102.47         2102.98         0.121979        0.99976         41.4378         0.678142        
W381    2103.05         2106.86         0.119543        0.998191        40.3751         2.2796          
W382    2103.57         2106.81         0.123552        0.998464        47.8991         0.740243        
W383    2104.05         2104.07         0.126358        0.99999         45.2609         0.985211        
W384    2104.47         2103.3          0.123726        1.00055         49.0076         1.04015         
W385    2104.83         2111.27         0.13532         0.996952        43.7717         4.26017         
W386    2105.15         2105.53         0.134024        0.999818        49.9387         1.32832         
W387    2105.41         2107.62         0.133567        0.998954        48.4169         1.46477         
W388    2105.62         2103.82         0.123222        1.00086         46.6777         5.21287         
W389    2105.78         2106.25         0.12982         0.999779        49.2258         0.275707        
W390    2105.89         2106.33         0.130875        0.999788        48.3701         0.516596        
W391    2105.94         2105.95         0.138196        0.999995        47.4191         0.117132        
W392    2105.94         2105.59         0.122251        1.00017         52.0558         0.629061        
W393    2105.89         2104.84         0.131081        1.0005          54.2534         4.02323         
W394    2105.78         2104.73         0.136434        1.0005          51.608          0.640626        
W395    2105.62         2104.95         0.123608        1.00032         49.8456         1.4545          
W396    2105.41         2105.44         0.128451        0.99999         48.4443         2.2547          
W397    2105.15         2104.65         0.121736        1.00024         48.2732         1.99701         
W398    2104.83         2104.1          0.109671        1.00035         46.6921         0.596812        
W399    2104.47         2106.9          0.135345        0.998844        53.0223         0.672866        
W400    2104.05         2106.24         0.132096        0.998958        55.1332         0.136254        
W401    2103.57         2105.51         0.120913        0.999078        47.8115         1.10384         
W402    2103.05         2101.39         0.113454        1.00079         37.91           2.46672         
W403    2102.47         2092.48         0.118327        1.00477         68.8492         1.33066         
W404    2101.84         2125.72         0.12022         0.988766        30.5846         0.639974        
W405    2101.16         2100.31         0.131095        1.0004          30.5791         0.685755        
W406    2100.43         2098.24         0.122383        1.00104         30.1496         0.115037        
W407    2099.65         2070.99         0.122662        1.01384         35.4379         1.23319         
W408    2098.81         1346.92         0.0577359       1.55823         2.78244         1.13289         
W409    2099.07         3090.41         0.105209        0.679222        3.88631         4.81615e-06     
W410    2099.91         1615.31         0.0772027       1.3             46.3053         1.42506         
W411    2100.69         2010.34         0.118684        1.04494         59.9188         1.38851         
